Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ященко,Устим,Олександрович,Чоловіча,19.09.1950,Круп'є,хутір Тлумач,"сквер Ковалевського узвіз, буд. 325, Калуш, 09849",205 19 58,iemetsarsen@example.net
Яремко,Ярослав,Олегович,Чоловіча,02.07.1983,Кінорежисер,місто Ізюм,"парк Перемоги, буд. 01 кв. 45, Берислав, 38973",672-69-41,vdzyndra@example.org
Дашкевич,Борислав,Олексійович,Чоловіча,03.05.1962,Режисер,село Світлодарськ,"набережна Юхима Фесенка, буд. 615, Зугрес, 24963",525-43-93,iakiv74@example.net
Джус,Болеслав,Олександрович,Чоловіча,18.11.1974,Професор,місто Канів,"шосе Зоряна, буд. 17, Вільногірськ, 49597",+380 (33) 759-44-99,makarkorolenko@example.org
Єрьоменко,Альберт,Юрійович,Чоловіча,07.12.1956,Випробувач,хутір Карлівка,"шосе Польська, буд. 81 кв. 49, Таврійськ, 44950",003 892 38 31,ydankevych@example.com
Мазур,Федір,Олександрович,Чоловіча,12.10.1946,Бібліотекар,селище Гуляйполе,"провулок Суднобудівна, буд. 19, Буринь, 73902",208-94-00,iaremahavrylo@example.com
Дараган,Віталій,Юрійович,Чоловіча,09.11.1990,Намотувальник,село Суходільськ,"парк Амурський 4-й, буд. 79 кв. 431, Сокаль, 38972",074 890-44-30,fartushniakkhoma@example.org
Дрозденко,Левко,Іванович,Чоловіча,05.11.1966,Програміст,місто Чугуїв,"сквер Новоукраїнський, буд. 28, Одеса, 92034",062 71 87,olha48@example.net
Гупало,Захар,Юрійович,Чоловіча,03.04.1999,Штукатур,хутір Ічня,"вулиця Пересипська 8-ма, буд. 1, Заводське, 16933",+380 55 040-65-87,gerusiryna@example.net
Корсун,Прохір,Юрійович,Чоловіча,04.07.1962,Гірник,місто Перечин,"шосе Пересипський міст, буд. 86, Снігурівка, 86120",035-10-51,oleksandrmiroshnychenko@example.org
Авраменко,Антон,Іванович,Чоловіча,23.09.1962,Продюсер,селище Феодосія,"шосе Товарний, буд. 23, Сокиряни, 04925",+380 86 426-94-04,hoholazar@example.org
Якимчук,Герман,Олегович,Чоловіча,29.01.1952,Машиніст,хутір Верхньодніпровськ,"площа Толбухіна, буд. 4 кв. 94, Соснівка , 17643",139 11 33,rperepelytsia@example.org
Ґалаґан,Трохим,Петрович,Чоловіча,09.05.1965,Гінеколог,село Ірпінь,"набережна Чорноморський 7-й, буд. 84 кв. 5, Вінниця, 50106",250-20-55,ieremenkovira@example.org
Єрьоменко,Мирон,Анатолійович,Чоловіча,14.04.1955,Астронавт,місто Ананьїв,"провулок Архітектурна, буд. 76, Брянка, 62823",+380 62 712-99-08,xieromenko@example.com
Єресько,Євген,Вікторович,Чоловіча,24.06.1967,Епідеміолог,село Новоукраїнка,"парк Незалежності, буд. 719, Судова Вишня, 74002",+380 62 959-82-21,danna75@example.com
Вернигора,Пармен,Юрійович,Чоловіча,24.11.1997,Хореограф,хутір Дубно,"узвіз Теліги Олени, буд. 5, Ківерці, 35902",071 120 58 65,okseniia85@example.com
Негода,Ігор,Петрович,Чоловіча,22.10.1997,Співак,селище Луганськ,"провулок Пересипська 6-та, буд. 6, Ірпінь, 43031",897-38-83,ivanmazur@example.org
Гайдай,Прохір,Вікторович,Чоловіча,01.07.1967,Правник,село Боярка,"проспект Північний, буд. 9, Рахів, 74831",036 898 57 03,vasylenkopetro@example.com
Христенко,Гаврило,Вікторович,Чоловіча,15.07.1973,Футболіст,селище Тараща,"набережна Ялинковий, буд. 4, Сєвєродонецьк, 91913",074 287 50 53,revamykyta@example.org
Сірко,Кирило,Іванович,Чоловіча,20.02.1993,Філолог,село Бережани,"вулиця Академіка Вільямса, буд. 752, Білозерське, 82216",+380 74 660-63-16,boleslav99@example.com
Василечко,Йосип,Іванович,Чоловіча,21.11.1968,Ґрунтознавець,село Покров,"парк Республіканська, буд. 2 кв. 8, Дніпрорудне, 04147",+380 42 323-40-94,mykhailohohol@example.org
Копитко,Павло,Петрович,Чоловіча,03.11.1952,Льотчик,місто Козятин,"вулиця Васнецова, буд. 661 кв. 619, Лиман , 22468",095 77 92,adaovcharenko@example.com
Гук,Ілля,Олегович,Чоловіча,10.04.1939,Епідеміолог,хутір Стебник,"площа Таїрова, буд. 249, Трускавець, 23786",+380 (10) 843-87-81,vadym49@example.org
Базилевський,Демид,Олексійович,Чоловіча,07.03.2007,Мистецтвознавець,село Перевальськ,"проспект Уютна, буд. 990 кв. 81, Монастирище, 33648",812 11 93,atamanchukanastasiia@example.org
Сич,Йосип,Олексійович,Чоловіча,23.02.1952,Сценарист,селище Гайворон,"набережна Майстерний, буд. 7 кв. 919, Ананьїв, 94792",+380 12 001-09-45,hryhorii47@example.com
Іваненко,Гліб,Петрович,Чоловіча,24.04.1987,Петрограф,село Корець,"сквер Перлинна, буд. 0 кв. 618, Ходорів, 92579",383-29-43,adam56@example.net
Царенко,Устим,Іванович,Чоловіча,18.09.1952,Електрослюсар,селище Першотравенськ,"проспект Лінія 43-тя, буд. 312 кв. 0, Балаклія, 76696",068 546 28 24,zakhar73@example.org
Гайдамака,Олекса,Олександрович,Чоловіча,19.06.1972,Стропальник,село Зимогір'я,"шосе Естафетна, буд. 08 кв. 85, Нове Давидково, 23522",694 86 70,zlatoslava79@example.org
Матяш,Климент,Олексійович,Чоловіча,23.01.1942,Музичний редактор,місто Зугрес,"набережна Дідріхсона, буд. 8 кв. 7, Буринь, 49331",725 92 69,vakarchukkyrylo@example.net
Дашкевич,Орест,Олегович,Чоловіча,05.10.1999,Гінеколог,хутір Глобине,"провулок Коцебу міст, буд. 6, Заводське, 19556",+380 37 716 07 67,zorian91@example.org
Кибкало,Олександр,Іванович,Чоловіча,18.02.1978,Промисловець,село Конотоп,"сквер Ключовий 1-й, буд. 392 кв. 83, Обухів, 31251",082-15-28,hordiikybkalo@example.net
Дробʼязко,Юхим,Юрійович,Чоловіча,15.09.1990,Музикант,село Новий Калинів,"шосе Прокатна, буд. 654 кв. 71, Гнівань, 04528",+380 (86) 473-25-99,makohonmakar@example.net
Рудько,Владислав,Олександрович,Чоловіча,05.07.2006,Фольклорист,місто Переяслав,"набережна Герцена, буд. 94 кв. 229, Черкаси, 45019",+380 95 245 06 13,ivanusyk@example.net
Худяк,Іван,Юрійович,Чоловіча,07.10.1956,Модель,село Костопіль,"парк Дністровська, буд. 890 кв. 06, Коростень, 73739",093 671-45-26,andriirudyk@example.org
Приходько,Вадим,Юрійович,Чоловіча,02.08.1952,Різноробочий,хутір Кальміуське,"шосе Луганська, буд. 136, Гайсин, 07148",+380 54 933-97-95,dzhusdaryna@example.net
Шамрай,Олександр,Олегович,Чоловіча,18.04.1970,Футболіст,хутір Ялта,"сквер Юхима Геллера, буд. 3, Тернопіль, 78198",801-23-45,osachenko@example.com
Чумаченко,Хома,Іванович,Чоловіча,16.09.1946,Фермер,хутір Черкаси,"вулиця Кифоренка Бориса, буд. 310, Краматорськ, 07038",724 91 09,eduard66@example.net
Гаєвський,Едуард,Юрійович,Чоловіча,12.08.2003,Гірничий інженер,селище Оріхів,"сквер Тиха, буд. 565, Довжанськ, 84730",026 661 10 95,opanashaida@example.org
Свистун,Орхип,Олегович,Чоловіча,12.06.1988,Різноробочий,місто Герца,"площа Станційна 2-га, буд. 305, Тараща, 58875",660 17 24,mykhailobaklan@example.com
Гайденко,Богдан,Анатолійович,Чоловіча,28.12.1986,Прокурор,селище Щолкіне,"проспект Книжковий, буд. 0, Теребовля, 95652",099 781-22-05,vladyslavsomko@example.org
Єрченко,Мирон,Іванович,Чоловіча,13.07.1969,Сценарист,місто Голубівка,"вулиця Балтський 2-й, буд. 059 кв. 21, Козятин, 14956",+380 (09) 286-68-34,piatachenkomyron@example.net
Павлик,Ігор,Олександрович,Чоловіча,25.12.1988,Дипломат,місто Бердянськ,"узвіз Таїрова, буд. 18 кв. 165, Кривий Ріг, 24549",+380 00 309-17-41,mieroshenko@example.com
Перебийніс,Ростислав,Олександрович,Чоловіча,16.06.1990,Кінорежисер,хутір Вашківці,"вулиця Стражеска Миколи, буд. 658 кв. 5, Рені, 01643",+380 (16) 176-62-41,jkhorishko@example.org
Ярош,Ярема,Олександрович,Чоловіча,03.06.1999,Агроном,хутір Бучач,"набережна Виноградний, буд. 369, Герца, 75037",095-10-67,nestorzakharchenko@example.org
Алексюк,Олесь,Юрійович,Чоловіча,13.05.1999,Мірошник,селище Корець,"вулиця Об'їзна дорога, буд. 0 кв. 3, Пустомити, 27248",+380 07 893 79 47,anzhelaiarema@example.org
Вернигора,Альберт,Юрійович,Чоловіча,28.08.1984,Економіст,місто Винники,"площа Педагогічна, буд. 86 кв. 256, Іловайськ, 44333",+380 96 110 83 51,heorhiiholyk@example.com
Верменич,Олекса,Іванович,Чоловіча,15.03.1940,Ріелтор,селище Миколаїв,"набережна 7-ма Лінія Дачі Ковалевського, буд. 8 кв. 9, Добропілля, 71690",+380 09 304-05-34,kabaliukteodor@example.com
Ніколюк,Симон,Анатолійович,Чоловіча,04.10.1999,Фермер,селище Родинське,"узвіз Дачна, буд. 253, Ватутіне, 47560",+380 29 717-96-80,zakharchenkoanton@example.net
Адамчук,Антон,Вікторович,Чоловіча,02.12.1967,Медик,селище Рудки,"проспект Олександра Стурдзи, буд. 8, Лебедин, 18768",595-52-41,hannakorsun@example.org
Килимник,Мартин,Олександрович,Чоловіча,19.08.1965,Фрілансер,село Новомиргород,"проспект Пересипська 5-та, буд. 06 кв. 57, Богодухів, 85305",+380 (27) 532-22-72,epetrenko@example.org
Балабан,Віктор,Іванович,Чоловіча,07.04.1971,Бухгалтер,село Радомишль,"площа Лермонтовський, буд. 792, Володимир-Волинський, 71440",+380 (33) 428-32-79,panteleimon30@example.org
Яремко,Євген,Петрович,Чоловіча,10.11.1984,Нотаріус,селище Узин,"вулиця Люстдорфська дорога, буд. 210 кв. 6, Почаїв, 42955",+380 62 943-97-41,udemianiuk@example.net
Скирда,Йосип,Іванович,Чоловіча,20.07.2005,Золотар,селище Золоте,"шосе Амурська, буд. 40 кв. 0, Семенівка, 37426",+380 13 811 83 74,epavlyk@example.net
Жарко,Петро,Олександрович,Чоловіча,08.03.1944,Громадський діяч,селище Кам'янське,"узвіз Академіка Вільямса, буд. 59 кв. 81, Ірпінь, 13597",014 358-60-33,heorhii34@example.net
Килимник,Кирило,Юрійович,Чоловіча,07.07.1963,Бібліотекар,село Алчевськ,"сквер Морський, буд. 904 кв. 856, Радомишль, 17135",+380 13 116-27-81,panaskovpak@example.net
Ейбоженко,Семен,Вікторович,Чоловіча,23.09.1990,Ювелір,селище Заводське,"сквер Каспійський, буд. 8, Хирів, 55160",+380 92 557-44-83,hoholhalyna@example.net
Затовканюк,Тарас,Олексійович,Чоловіча,12.08.1978,Патологоанатом,селище Новий Калинів,"проспект Лїнія 1-ша, буд. 457 кв. 92, Тальне, 25393",+380 (01) 373-95-13,qhavrysh@example.org
Данилюк,Дан,Юрійович,Чоловіча,13.05.2004,Геолог,селище Красноград,"площа Гімназична, буд. 8, Красноград, 47535",000 638 27 90,viktoriiakomar@example.com
Данченко,Остап,Олегович,Чоловіча,08.03.1958,Стоматолог,село Дружківка,"проспект Приморський, буд. 508 кв. 83, Вільнянськ, 58966",+380 86 966 42 27,kabanenkohanna@example.org
Матвієнко,Орест,Анатолійович,Чоловіча,09.12.2001,Редактор,місто Ямпіль,"проспект Нафтовиків, буд. 517, Кролевець, 15935",041 983-28-77,mazepaklavdiia@example.net
Кармалюк,Давид,Анатолійович,Чоловіча,17.12.1982,Лікар,хутір Ківерці,"проспект Польова, буд. 3, Святогірськ, 52602",837-02-00,eduardkonoplenko@example.com
Бебешко,Ігор,Іванович,Чоловіча,11.11.1966,Епідеміолог,хутір Городок,"площа Рощева, буд. 13 кв. 988, Скадовськ, 54583",479 39 41,mykyta62@example.com
Гаврюшенко,Микита,Юрійович,Чоловіча,05.05.1971,Перекладач,селище Мостиська,"набережна Покровський, буд. 346 кв. 34, Привілля, 30601",+380 95 029-53-97,phaidamaka@example.org
Штокало,Станіслав,Анатолійович,Чоловіча,23.09.2003,Гірничий інженер,село Бахчисарай,"проспект Середньофонтанський, буд. 300, Чоп, 61424",+380 (75) 270-94-55,petrykiosyp@example.org
Гаврилів,Семен,Петрович,Чоловіча,28.11.1966,Стропальник,хутір Хмельницький,"сквер Рачкова, буд. 922 кв. 99, Заставна, 58589",824-67-77,snizhanavlasiuk@example.org
Асаула,Сергій,Анатолійович,Чоловіча,11.06.1951,Астрофізик,місто Зіньків,"парк Селекційна, буд. 433 кв. 96, Лисичанськ, 96449",+380 01 139-59-36,boryslavdavydenko@example.com
Мазепа,Костянтин,Олексійович,Чоловіча,14.10.1976,Гірничий інженер,місто Яготин,"шосе Шебелінський, буд. 5 кв. 739, Сулимівка (Слов'янськ), 66613",+380 (08) 084-18-27,ishchakpriska@example.com
Височан,Дмитро,Петрович,Чоловіча,07.11.2003,Музичний редактор,місто Червоноград,"узвіз Композитора Ніщинського, буд. 420, Теребовля, 66060",+380 (62) 637-83-60,hennadiitovstolis@example.net
Приходько,Семен,Анатолійович,Чоловіча,03.11.2004,Живописець,хутір Бар,"проспект Коцюбинського, буд. 8 кв. 04, Амвросіївка, 44501",076 562-35-60,vlokhaaron@example.com
Венгринович,Едуард,Іванович,Чоловіча,09.11.1948,Прокурор,село Ялта,"узвіз Дунайська, буд. 67 кв. 8, Немирів, 50411",961-39-99,opanas49@example.com
Голик,Захар,Юрійович,Чоловіча,28.12.1964,Кінолог,село Вараш,"парк Сортувальна 1-ша, буд. 93, Ківерці, 13655",925-47-98,fholyk@example.net
Мірошниченко,Стефан,Петрович,Чоловіча,21.02.1945,Зоолог,село Умань,"узвіз Палія Семена, буд. 343 кв. 49, Луцьк, 59484",+380 11 529-48-77,terezashcherbak@example.net
Єресько,Веніямин,Олександрович,Чоловіча,16.11.1949,Головний меркшейдер,селище Первомайськ,"узвіз Лиманна, буд. 3 кв. 9, Іллінці, 79284",+380 69 070 06 59,roksolana56@example.org
Таран,Олекса,Олегович,Чоловіча,09.11.1955,Музикант,село Феодосія,"сквер Садова 4-та, буд. 5, Лебедин, 84885",+380 (52) 928-38-16,sliusarorest@example.org
Дубас,Прохір,Олександрович,Чоловіча,08.03.1941,Історик,селище Сквира,"узвіз Дюківська, буд. 6 кв. 9, Кальміуське, 11973",109 68 90,amvrosii83@example.org
Шухевич,Левко,Юрійович,Чоловіча,02.01.1980,Музикант,місто Миронівка,"вулиця 6-та Лінія Марії Демченко, буд. 6, Ржищів, 09489",+380 06 569 31 22,valentyniaremenko@example.net
Їжак,Григорій,Іванович,Чоловіча,13.04.1991,Промисловець,місто Перевальськ,"вулиця Архітекторська, буд. 42, Дніпрорудне, 06796",+380 91 037-86-40,volodymyr45@example.com
Бабиченко,Борис,Вікторович,Чоловіча,12.12.1965,Ветеринар,хутір Старокостянтинів,"площа Аеропортівський 6-й, буд. 8 кв. 389, Корсунь-Шевченківський, 17504",574-25-68,hkarmaliuk@example.com
Литвин,Венедикт,Вікторович,Чоловіча,29.12.1978,Мірошник,хутір Хорол ,"сквер Спортивний, буд. 1, Бунге , 48752",+380 52 533 95 42,elupii@example.com
Піддубний,Назар,Олегович,Чоловіча,29.10.1940,Диригент,селище Батурин,"сквер Куликовський 2-й, буд. 504 кв. 398, Кам'янка (Черкаська область), 94649",424 10 38,parasiukdmytro@example.net
Єрченко,Володимир,Олексійович,Чоловіча,24.03.1993,Ґрунтознавець,селище Мала Виска,"провулок Артезіанська, буд. 8, Звенигородка, 06922",+380 27 440-73-86,iaryna79@example.org
Скиба,Ростислав,Олексійович,Чоловіча,14.05.1980,Будник,хутір Кам'янка (Черкаська область),"проспект Лінія 45-та, буд. 3 кв. 7, Андрушівка, 59124",017 760 48 32,xzarudnyi@example.com
Козаченко,Азар,Іванович,Чоловіча,12.10.1959,Літературознавець,хутір Міусинськ,"вулиця Тінистий, буд. 855 кв. 55, Вашківці, 37362",090 480-47-42,sirchenkoklyment@example.org
Величко,Опанас,Олександрович,Чоловіча,11.08.1960,Бібліотекар,місто Арциз,"парк Маланова, буд. 6, Борислав, 44462",099 640 63 42,nkovaliuk@example.org
Юрчишин,Антон,Петрович,Чоловіча,19.07.1949,Письменник,село Миргород,"набережна Трудових резервів, буд. 85, Погребище, 84051",+380 51 530 41 11,boleslavvenhrynovych@example.net
Закусило,Гліб,Юрійович,Чоловіча,20.06.1938,Сантехнік,село Лутугине,"парк Першотравневий 2-й, буд. 565 кв. 737, Монастирище, 52389",+380 18 442 43 02,anton15@example.com
Жученко,Теодор,Іванович,Чоловіча,11.08.2002,Драматург,хутір Березівка,"узвіз Князівська, буд. 053, Хуст, 80330",554-79-66,xkylymnyk@example.net
Тесля,Георгій,Олексійович,Чоловіча,28.03.2007,Менеджер,хутір Червоноград,"узвіз Щукіна, буд. 3 кв. 364, Сокаль, 11065",+380 33 688 26 38,boleslavfartushniak@example.net
Вишиваний,Йосип,Вікторович,Чоловіча,19.03.1990,Архітектор,хутір Шумськ,"проспект Селекційний, буд. 011 кв. 36, Стебник, 01801",+380 64 370-52-99,iereskookhrim@example.org
Башполченко,Йосип,Петрович,Чоловіча,26.12.1947,Паралегал,місто Бучач,"узвіз Лінія 50-та, буд. 9 кв. 0, Дунаївці, 87144",+380 (97) 989-10-65,vshapoval@example.com
Удовиченко,Онисим,Юрійович,Чоловіча,21.08.1943,Детектив,хутір Яремче,"площа Купріна, буд. 6, Чугуїв, 74330",+380 22 566-72-67,hrytsenkomariana@example.org
Носаченко,Єфрем,Олексійович,Чоловіча,25.03.1966,Доцент,село Білгород-Дністровський,"парк Складська, буд. 660, Перечин, 02405",+380 30 379-22-34,iosyppetryk@example.com
Акуленко,Леон,Олександрович,Чоловіча,26.11.2005,Мірошник,місто Зугрес,"проспект Десятого квітня, буд. 69, Кам'янець-Подільський, 97132",113 18 21,saienkoorysia@example.org
Сімашкевич,Владислав,Юрійович,Чоловіча,13.08.1940,Архітектор,місто Буськ,"площа Мечникова, буд. 441, Славутич, 49402",+380 54 022-92-69,zhaivorondmytro@example.com
Гупало,Стефан,Юрійович,Чоловіча,06.09.1943,Агроном,селище Дубровиця,"провулок Санітарна, буд. 8 кв. 754, Марганець , 17525",878 69 31,amvrosiitymchuk@example.net
Карпа,Володимир,Олегович,Чоловіча,16.06.1978,Вчитель,селище Нове Давидково,"парк Березова, буд. 86, Часів Яр, 99944",013 202-56-97,avramenkoalla@example.org
Хомик,Роман,Вікторович,Чоловіча,03.02.1959,Ветеринар,селище Дрогобич,"вулиця Лиманчик 2-й Лінія 5-та, буд. 30, Білопілля, 66076",+380 (61) 366-89-88,adatsenko@example.com
Демʼянюк,Венедикт,Олегович,Чоловіча,28.07.1966,Державний службовець,місто Прилуки,"узвіз Дружний, буд. 3, Буринь, 51010",+380 90 341 42 06,gkharchenko@example.org
Ажажа,Вʼячеслав,Юрійович,Чоловіча,03.01.1989,Круп'є,місто Біляївка,"площа 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 469 кв. 66, Старобільськ, 07351",+380 18 278-64-18,parmen30@example.org
Ірванець,Андрій,Юрійович,Чоловіча,20.05.1992,Агроном,селище Липовець,"узвіз Скидановська, буд. 9 кв. 599, Сквира, 85884",043 726-69-67,khmaraerika@example.org
Смик,Герман,Іванович,Чоловіча,08.12.2000,Дипломат,село Яремче,"шосе Пересипська 1-ша, буд. 2, Васильків, 15163",+380 14 315-57-68,yzasukha@example.org
Гайдамака,Мартин,Іванович,Чоловіча,08.08.1955,Ботанік,село Перемишляни,"узвіз Ромашкова, буд. 32, Шумськ, 57323",082 210 25 38,kamilla03@example.org
Безбородьки,Григорій,Іванович,Чоловіча,04.11.1967,Вчитель,місто Новояворівськ,"набережна Чорноморський, буд. 54 кв. 48, Костопіль, 11579",+380 (95) 024-66-04,illia91@example.com
Зубко,Арсен,Олександрович,Чоловіча,10.08.1945,Гірник,хутір Добромиль,"набережна Лютнева, буд. 37, Прилуки, 34998",+380 87 641-50-78,hryhorii36@example.com
Батіг,Венедикт,Іванович,Чоловіча,28.03.1997,Співак,село Червоносів,"площа Давида Ойстраха, буд. 8, Рахів, 60285",070 167-23-50,jkorpaniuk@example.net
Доценко,Тимофій,Вікторович,Чоловіча,02.10.1986,М'ясник,селище Рівне,"вулиця Буніна, буд. 61, Вижниця, 18424",020-96-09,kamilla70@example.net
Фоменко,Левко,Юрійович,Чоловіча,05.06.1992,Філолог,селище Сміла,"проспект Балтський 6-й, буд. 64 кв. 453, Олешки, 79408",+380 96 702-72-10,teodorsirobaba@example.org
Чаленко,Аарон,Юрійович,Чоловіча,03.03.1953,Перекладач,селище Ковель,"площа Кільцева, буд. 464 кв. 660, Ізмаїл, 52208",+380 50 647 29 00,svystunvasylyna@example.com
Вахній,Амвросій,Юрійович,Чоловіча,30.01.1947,Громадський діяч,село Роздільна,"набережна Брестська, буд. 2 кв. 08, Генічеськ, 82650",+380 (16) 132-22-54,eduard73@example.net
Зарудний,Болеслав,Юрійович,Чоловіча,21.12.1992,Штукатур,місто Малин,"проспект Єлисаветградський, буд. 18, Ворожба, 90744",064 518 66 86,tryhubzorian@example.org
Деркач,Юстим,Олександрович,Чоловіча,18.02.1956,Мірошник,селище Новомиргород,"набережна Демократична, буд. 48, Міусинськ, 09460",+380 27 363 04 13,androshchukoksana@example.org
Гаврилюк,Пармен,Юрійович,Чоловіча,05.04.1953,Геолог,село Гадяч,"сквер Софіївська, буд. 1 кв. 22, Київ, 67818",389 13 01,gneporozhnii@example.net
Кабаненко,Остап,Юрійович,Чоловіча,02.08.1979,Доцент,хутір Вишгород,"узвіз Мечникова, буд. 4 кв. 63, Барвінкове, 95275",+380 01 789 08 32,ustenkoemiliia@example.com
Кибкало,Адам,Олександрович,Чоловіча,10.03.1995,Євнух,місто Курахове,"вулиця Наявний 2-й, буд. 2, Новоселиця, 48471",+380 15 278 84 78,isaievychiaryna@example.org
Гриценко,Устим,Іванович,Чоловіча,28.07.2000,Реставратор,село Шпола,"сквер Рачкова, буд. 028, Бучач, 95125",014 255 56 26,liubovadamenko@example.net
Рубан,Ярослав,Петрович,Чоловіча,14.11.1981,Візажист,село Миколаївка ,"шосе Бородінська, буд. 8, Горлівка, 82585",094-12-60,fvyshyvanyi@example.com
Гаврилишин,Тимофій,Іванович,Чоловіча,16.02.1972,Програміст,селище Хоростків,"площа Кінна, буд. 827 кв. 930, Бурштин , 63324",+380 21 532 85 38,zubkoalbina@example.org
Ващук,Яків,Олегович,Чоловіча,13.04.1962,Слідчий,місто Новодністровськ,"парк Чорноморський 5-й, буд. 173, Знам'янка, 58133",+380 42 061-85-73,stanislavparasiuk@example.net
Жайворон,Арсен,Петрович,Чоловіча,09.12.1962,Штукатур,місто Севастополь,"шосе Тракторна, буд. 1, Тростянець, 99389",+380 00 759-71-46,aaron75@example.net
Удовиченко,Панас,Петрович,Чоловіча,11.06.1976,Ді-джей,селище Голубівка,"узвіз Нежданової, буд. 2, Тальне, 73740",+380 80 678-95-73,halyna24@example.net
Бандура,Алевтин,Вікторович,Чоловіча,18.05.1990,Ветеринар,село Яготин,"вулиця Мазараті, буд. 670, Запоріжжя, 80556",030 810-97-65,yievtushok@example.com
Бездітко,Панас,Іванович,Чоловіча,11.01.1942,Гірничий інженер,місто Мукачево,"провулок Лінія 52-га, буд. 9 кв. 583, Ржищів, 19555",+380 48 039-17-56,kyrylo74@example.net
Сагаль,Борислав,Вікторович,Чоловіча,29.11.2002,Співак,село Соснівка ,"набережна Дмитрія Донського, буд. 510, Снятин, 44980",015 979-81-25,alla89@example.net
Верменич,Венедикт,Юрійович,Чоловіча,21.01.2001,Ґрунтознавець,селище Кадіївка,"вулиця Далекосхідна, буд. 079, Шахтарськ, 97438",+380 99 979-17-01,nestaikoles@example.com
Корбут,Тимофій,Іванович,Чоловіча,31.07.1951,Няня,село Красноград,"узвіз Шампанський, буд. 7 кв. 6, Перевальськ, 22988",+380 41 737-47-02,dsahal@example.org
Дрозденко,Гліб,Олександрович,Чоловіча,29.01.1941,Педагог,місто Белз,"сквер Геологічна, буд. 524 кв. 17, Хирів, 93349",057 596-93-35,esmyk@example.com
Бабенко,Сергій,Анатолійович,Чоловіча,14.05.1938,Правник,хутір Балта,"вулиця Слобідський узвіз, буд. 77, Березівка, 47507",+380 08 229-47-28,blupii@example.org
Тягнибок,Пантелеймон,Олексійович,Чоловіча,17.02.1952,Астрофізик,місто Коломия,"набережна Навігаційний, буд. 084, Хоростків, 95575",040 337-81-29,olhavashchenko@example.com
Сомко,Левко,Олексійович,Чоловіча,26.07.1958,Гінеколог,місто Кам'янка-Дніпровська,"набережна Український 3-й, буд. 06 кв. 9, Червоносів, 97305",+380 20 986-44-21,viktoriiahaidabura@example.org
Назаренко,Михайло,Олександрович,Чоловіча,30.06.1996,Прокурор,селище Новоселиця,"вулиця Дальницьке, буд. 12, Южне, 48479",020 536 11 68,gnikoliuk@example.com
Ватаманюк,Костянтин,Олегович,Чоловіча,24.05.1952,Науковець,хутір Рівне,"вулиця Транспортна, буд. 95 кв. 47, Докучаєвськ, 06914",+380 05 011-97-24,nadiiaaleksiuk@example.net
Жайворон,Віктор,Юрійович,Чоловіча,04.05.1939,Клоун,місто Червоносів,"узвіз Профспілкова, буд. 67, Світлодарськ, 12270",550 32 50,bhutsuliak@example.net
Туркало,Ілля,Вікторович,Чоловіча,10.01.1943,Модель,селище Шепетівка,"парк Нафтовиків 1-й, буд. 1, Березань , 01421",032 830 30 25,nadiiabevzenko@example.net
Шовкопляс,Яків,Вікторович,Чоловіча,09.09.1972,Астронавт,місто Буськ,"шосе Могилівська, буд. 6 кв. 596, Болехів, 03910",067 457-12-95,trokhymkarpa@example.net
Ткаченко,Микита,Іванович,Чоловіча,27.02.1954,Шериф,хутір Вилкове,"шосе Пестеля, буд. 1, Погребище, 05247",072 669-57-32,rishchak@example.com
Ящук,Костянтин,Вікторович,Чоловіча,28.11.1948,Клавішник,селище Подільськ,"вулиця Чорноморський, буд. 727, Яворів, 21049",+380 48 350-70-76,zakharchenkoarsen@example.net
Ґоляш,Владислав,Олександрович,Чоловіча,08.10.1964,Штукатур,місто Чернігів,"проспект 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 536, Хотин, 87350",066 885-49-61,emiliia15@example.com
Ґжицький,Євген,Юрійович,Чоловіча,29.08.1992,Електромонтер,місто Лубни,"проспект Морська, буд. 2 кв. 4, Олевськ, 40971",+380 (42) 285-30-29,nazarshvaika@example.net
Конопленко,Кирило,Анатолійович,Чоловіча,04.11.1991,Слідчий,селище Бахмут,"шосе 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 24 кв. 6, Суми, 43480",+380 88 182-55-36,vlasenkoustym@example.net
Чалий,Тарас,Олексійович,Чоловіча,07.11.1940,Льотчик,хутір Жовті Води,"площа Рельєфна, буд. 81 кв. 8, Березівка, 45670",487-34-68,orynazasukha@example.com
Скопенко,Олесь,Олегович,Чоловіча,04.07.1940,Фольклорист,селище Суходільськ,"вулиця Лодочний, буд. 4 кв. 32, Овруч, 91742",+380 44 152-72-15,orestkashchenko@example.net
Заїка,Панас,Юрійович,Чоловіча,13.08.1944,Інженер,село Вільногірськ,"площа Карпатська, буд. 48 кв. 784, Куп'янськ, 31121",045 534-31-35,hlibshvachko@example.org
Захаренко,Адам,Олександрович,Чоловіча,23.09.1967,Бухгалтер,селище Сновськ,"площа Заводська, буд. 68 кв. 85, Кадіївка, 52885",+380 (48) 690-11-38,violetta87@example.net
Гаврилюк,Франц,Анатолійович,Чоловіча,16.03.1947,Письменник,місто Докучаєвськ,"вулиця Водопровідний 1-й, буд. 25, Путивль, 77266",+380 83 530-27-51,shyloaaron@example.org
